district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,600610,75.15,12.34,5.96,0.18,2.29,0.1,0.75
2,District 2,615360,67.51,22.46,5.59,0.22,1.51,0.07,0.35
3,District 3,618631,69.87,14.82,10.32,0.12,2.25,0.05,0.26
4,District 4,593462,57.67,29.42,7.83,0.11,2.26,0.09,0.38
5,District 5,602580,70.55,11.71,10.14,0.06,4.72,0.07,0.39
6,District 6,646313,76.33,10.26,9.94,0.12,1.28,0.07,0.21
7,District 7,602620,66.56,9.06,19.4,0.12,2.96,0.03,0.27
8,District 8,639185,76.76,8.38,10.36,0.15,1.94,0.06,0.33
9,District 9,540739,35.34,10.38,48.52,0.05,3.82,0.1,0.37
10,District 10,551099,42.19,23.79,26.78,0.11,4.72,0.07,0.44
11,District 11,611064,66.21,12.05,16.22,0.1,3.46,0.08,0.26
12,District 12,640654,79.26,4.43,12.42,0.13,1.62,0.06,0.34
13,District 13,621802,79.53,6.38,8.96,0.1,3.11,0.05,0.17
14,District 14,573804,54.63,16.7,22.6,0.09,3.3,0.1,0.32
15,District 15,579656,57.71,13.89,22.02,0.11,3.85,0.07,0.38
16,District 16,606286,67.85,11.64,15.79,0.08,2.33,0.05,0.3
17,District 17,659064,81.8,4.83,10.35,0.09,1.45,0.05,0.19
18,District 18,594843,61.97,12.59,22.13,0.23,1.28,0.03,0.26
19,District 19,624875,78.39,5.32,13.12,0.07,1.56,0.05,0.19
20,District 20,508454,25.13,48.63,21.04,0.1,2.76,0.05,0.47
21,District 21,616388,70.41,11.82,13.99,0.1,1.92,0.05,0.27
22,District 22,545670,60.5,14.81,20.43,0.07,2.58,0.05,0.3
23,District 23,554977,62.45,12.53,19.64,0.12,3.12,0.05,0.39
24,District 24,482504,18.45,43.63,34.92,0.11,1.6,0.02,0.25
25,District 25,513445,37.15,16.84,39.46,0.17,4.25,0.09,0.55
26,District 26,472315,26.11,5.76,66.25,0.07,0.98,0.04,0.18
27,District 27,475920,20.18,5.94,70.47,0.1,1.97,0.03,0.37
28,District 28,492300,18.53,9.41,69.39,0.1,1.47,0.05,0.22
