district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,768532,53350,715145,557794,98071,1350,16997,691,6506,13419,8103,10977,1288,10737,27978,112720,600625,35752,564847,451400,74125,1065,13730,629,4482,5586,6746,6128,994,8803,19868,80668
2,776908,52324,724560,587252,97470,1848,9542,413,2745,11847,7277,4816,1307,10425,14355,110656,621178,34819,586332,482381,78203,1578,7786,400,1910,4064,6111,2750,1034,8716,10527,83332
3,760805,85297,675569,506948,118992,753,20703,405,3261,12017,5370,6366,960,7085,27033,131998,603910,62205,541737,417122,90360,596,16910,284,2166,5762,4356,3586,791,5746,20480,96925
4,779660,78592,701192,559340,76858,517,35400,519,3919,9481,4155,10318,622,5296,45720,86876,608946,55505,553552,450520,59654,460,26760,453,2269,4008,3257,5589,415,4145,32359,64090
5,754857,67563,687205,310167,331154,699,15701,409,3967,14702,4703,3728,2003,7415,19428,347938,584874,46130,538687,260591,247284,510,12789,358,2205,7011,3884,2587,1630,6023,15366,255901
6,790002,101383,688642,582702,72129,850,12413,355,1499,10000,4259,3617,708,5817,16085,82857,652804,73018,579796,500800,56248,768,9998,221,1040,4426,3637,2276,359,4761,12318,61043
7,733491,185417,548161,415325,78067,681,31636,531,3551,9131,2852,5853,516,4049,37481,87712,588521,141611,446956,346420,61644,597,24912,390,2217,4690,2343,3309,442,3378,28201,66776
8,775635,93565,681992,568137,71342,1018,15424,452,3425,11415,4186,6282,260,5467,21713,83012,636351,67790,568528,484878,54325,884,12925,375,2081,5743,3480,3536,268,4633,16480,60329
9,704853,370602,334193,215826,73341,278,27861,522,4110,5790,2498,3675,260,3035,31532,79393,537102,270120,266937,178371,55552,265,22571,441,2117,2977,2017,2331,245,2526,24900,58772
10,694330,152628,541717,287289,199679,617,33482,701,3660,7794,2102,5391,1055,3774,38874,208532,526060,107435,418637,235983,143861,546,25906,551,2065,3673,1693,3514,897,3137,29419,148432
11,801452,101387,699992,595139,72129,1117,11423,836,2767,7410,4473,3822,863,6451,15237,80381,672878,73612,599212,522297,54238,902,9740,545,2024,2896,3736,2155,657,5291,11883,57777
12,796332,133595,662713,573689,46348,952,18099,499,2815,10817,4240,4799,416,5618,22900,57603,635855,95457,540401,476947,35621,840,13556,355,1626,4875,3414,2748,381,4646,16303,40900
13,738812,71091,667742,540692,79454,829,24046,474,2004,10319,3724,4993,1176,5719,29043,90929,622457,52763,569691,475699,60041,728,20067,362,1194,4692,3133,2727,993,4843,22797,65721
14,722003,185637,536345,418805,68044,493,25949,653,2427,10637,2304,6111,1105,3891,32056,79669,581176,139253,441903,354516,53033,452,20160,544,1635,5285,2027,3540,792,3313,23697,59104
15,725036,182811,542193,337602,151100,589,27191,565,4971,10985,3434,4902,688,4721,32092,162953,548431,123510,424910,275602,113148,469,20268,478,2701,5696,2700,3211,636,3764,23480,119472
16,774495,108464,666093,566632,63894,496,13745,533,1821,10748,3258,4707,268,4023,18451,74869,638303,71317,567014,496846,47108,465,11253,366,1113,4298,2745,2533,260,3469,13786,51687
17,768791,138071,630699,535158,68090,1362,9655,259,2107,6938,3733,3018,342,5435,12674,75351,630071,90966,539098,468956,50577,1142,8140,230,1677,3256,3199,1574,335,4674,9711,54146
18,760182,124430,635797,511115,91725,713,13625,475,2543,7704,3128,4163,746,4584,17794,100193,618164,85716,532460,440970,68752,650,11167,326,1555,3845,2467,2177,593,3713,13344,73260
19,740153,110137,630020,572300,31186,464,11304,308,1456,6275,2886,3566,366,3718,14868,37818,636371,78237,558134,515663,23293,428,9505,329,1083,3316,2339,2029,209,2979,11533,26815
20,669978,140820,529235,146519,351100,717,13985,112,3120,8745,1267,1729,2033,4015,15711,361852,502402,99748,402637,128164,251444,510,11632,118,1904,5142,1116,1226,1473,3094,12871,257979
21,690834,151919,538946,403234,101232,435,18837,311,2591,6579,2002,3272,505,2942,22095,108300,560312,107771,452570,356341,71672,346,14942,280,1844,3259,1634,1873,395,2375,16804,75336
22,677611,153466,524043,389390,92255,908,21514,458,3446,8832,2065,4707,335,3310,26230,101428,545070,119048,426025,328418,67571,785,17222,352,2319,4610,1626,2747,327,2743,19967,72509
23,668269,266623,401631,229249,121982,1009,31963,563,3874,7569,1324,3630,406,2739,35597,129963,517583,202371,315201,186214,92982,753,24071,511,2975,4153,1166,1938,389,2308,26009,97521
24,641694,216673,425112,121853,283965,649,9240,104,1759,4354,615,1925,636,1899,11162,288960,485832,166109,319827,92931,211481,543,8025,105,1298,3054,514,1294,588,1644,9319,215123
25,592793,421641,171073,119660,40720,768,4894,162,1224,1558,813,1052,205,1787,5941,42498,458197,324808,133299,94615,30818,631,3990,154,744,795,636,692,172,1439,4686,31795
26,644395,442762,201622,118809,64848,536,9111,260,1778,3787,1103,1314,106,1745,10419,68709,492289,341589,150699,91204,46337,516,7260,236,1103,2177,917,874,85,1519,8134,48567
27,595826,414185,181656,124822,35158,603,11417,152,2636,2648,999,2986,201,1803,14415,38037,475931,335412,140516,96054,28252,470,9392,157,1755,1929,749,1603,162,1380,10995,30374
28,782408,208694,573722,428058,110332,675,13033,419,2213,10625,3893,3689,711,5279,16714,121671,602927,140845,462097,357791,81219,664,10480,305,1524,4334,3069,2040,593,4327,12507,86156
