district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,180040,9454,170571,115838,39973,519,3762,104,1588,3971,1842,2360,446,2862,6163,44468,138896,6135,132740,94357,28634,415,3403,103,1071,1502,1603,1235,272,2338,4658,30487
2,177068,11792,165295,122974,28081,295,4042,235,1307,3795,1553,2763,478,2264,6760,32273,142101,8194,133931,102714,22044,202,3232,230,872,1614,1322,1481,415,1886,4687,23994
3,185362,11279,174085,149990,11614,224,2939,73,1451,2073,2540,2935,81,2851,5863,13813,142987,7933,135058,117286,9399,185,2310,36,822,1119,2123,1646,82,2392,3962,10613
4,175610,17097,158507,125681,17451,278,5682,249,1929,3021,1493,2545,283,2055,8242,20713,136632,11093,125532,101751,13261,234,4343,235,1501,1166,1229,1587,225,1691,5930,14639
5,185950,9835,176115,145931,21579,654,1352,76,720,2424,2293,955,131,3078,2307,24134,147899,6321,141578,117773,17944,605,1121,77,640,758,1966,559,135,2706,1680,18837
6,177608,12424,165184,135745,17560,368,3004,143,900,3401,1766,2158,139,2273,5162,21100,139664,7856,131808,110918,13470,309,2581,108,668,1146,1404,1131,73,1786,3712,14689
7,180731,10945,169791,137735,24641,602,651,125,667,2176,1943,517,735,3280,1169,27549,145384,7155,138231,112666,20227,509,585,134,448,1164,1627,254,624,2760,839,22015
8,171574,12835,158711,59685,90619,192,2010,67,646,2953,1234,755,313,1734,2766,93874,138591,9401,129160,52826,70407,130,1869,58,399,1378,1070,513,268,1466,2384,72033
9,181979,13454,168548,126702,31359,29,5002,89,550,2515,932,1373,233,1199,6373,34121,147624,10258,137394,105229,25200,72,3869,84,369,941,820,858,187,1081,4725,26348
10,180029,11885,168130,132414,26874,83,1307,38,525,3088,2729,683,252,3063,1980,30204,139115,8182,130921,104605,20880,70,1034,49,436,981,2114,392,268,2453,1424,22128
11,180270,21473,158791,123653,22733,230,5023,254,1198,2941,971,1713,88,1293,6739,25768,138199,15010,123187,97878,17474,123,3970,123,683,1150,721,990,95,943,4963,18724
12,171963,22885,149027,100054,34337,158,6914,31,1062,3424,1094,1684,314,1564,8599,38069,134918,15427,119416,83764,25702,135,5364,29,689,1736,788,1056,218,1139,6419,27655
13,177173,12553,164759,65596,90100,115,3068,210,917,2703,648,1068,334,1096,4137,93124,136393,8437,128020,56160,65966,85,2758,171,431,989,542,563,287,912,3322,67247
14,173877,18898,154942,60706,83190,168,3169,56,1091,4335,647,967,619,1446,4141,88178,130145,11803,118321,50549,60280,145,2744,52,666,2367,491,707,432,1070,3453,63051
15,194269,14692,179511,130975,37304,260,4309,104,1017,2843,1164,1027,468,1885,5329,40590,148738,10456,138295,104391,27335,187,2898,92,424,885,937,641,397,1524,3533,28638
16,173148,18941,154217,117246,19654,121,9854,63,952,2744,874,2475,235,1229,12331,22643,134303,12781,121532,94529,14393,115,8509,62,717,992,667,1456,100,881,9968,15490
17,176965,21935,155035,108771,25370,111,13098,307,1706,2027,833,2701,99,1042,15797,27496,142520,15960,126569,91390,20902,105,9325,296,808,1339,742,1562,91,938,10888,22330
18,200502,17179,183319,159454,9591,26,7824,60,392,1708,955,3189,106,1089,11011,11433,149667,12000,137662,121896,7007,0,5390,16,150,828,731,1539,106,840,6929,7942
19,182714,17681,165039,141970,14794,95,3305,17,521,2185,934,766,433,1460,4073,17411,154877,13398,141484,123561,12405,101,2701,13,283,974,841,473,183,1122,3174,13562
20,180072,14677,165420,139424,17822,272,1128,119,460,3521,1536,1120,115,1922,2245,21417,142705,9581,133142,114864,13540,219,1049,77,224,1202,1299,520,104,1617,1566,14840
21,167100,20488,146655,85189,51422,237,3760,54,900,2780,1066,650,519,1827,4383,54693,136107,16114,120031,73630,38262,241,3433,60,654,1934,914,431,408,1554,3850,40582
22,185555,20806,164753,134380,15392,105,9006,15,353,1954,1334,2225,179,1613,11266,17552,152686,15796,136890,113585,12614,114,6972,14,298,840,1077,1445,81,1270,8433,13553
23,183363,14533,168835,156301,4018,470,2029,77,1159,2339,1209,844,390,2069,2873,6749,155379,10519,144857,135600,3641,245,1804,60,1007,501,1130,482,387,1762,2286,4530
24,184953,32085,152841,124895,20170,94,3047,318,257,1766,965,1131,23,1079,4209,21979,148773,23013,125722,106464,14375,54,2456,162,133,749,772,440,0,837,2897,15131
25,183593,42882,140680,108653,21402,185,5621,41,708,1968,931,971,214,1329,6592,23586,144970,30506,114448,90721,16398,110,4607,28,366,833,713,634,48,872,5241,17279
26,178351,20356,157988,130018,20816,208,2002,408,259,1900,1158,1044,291,1660,2993,23005,147832,14369,133459,113182,15596,217,1687,297,225,558,970,541,221,1408,2189,16374
27,187425,29777,157596,138811,11350,174,2828,65,280,2055,1218,811,23,1415,3664,13386,151036,21441,129588,116486,8038,181,2375,5,249,917,996,395,5,1179,2808,8938
28,181429,13225,168257,125974,33061,225,3633,114,445,2911,1010,690,90,1327,4323,36100,154385,10012,144414,112719,25308,203,2793,116,382,1411,882,476,85,1172,3268,26807
29,177027,51739,125312,102453,16931,157,2029,120,268,1942,687,676,59,903,2700,18937,138002,36354,101654,84492,13164,117,1745,110,203,828,565,405,44,731,2129,14060
30,181054,11105,169899,153081,10325,442,1966,86,251,1633,1079,964,117,1635,2934,12079,152130,8766,143333,131309,7454,411,1543,61,220,824,868,590,52,1326,2155,8328
31,179056,16282,162808,141529,12487,249,3236,111,708,2314,933,1199,58,1240,4436,14853,149738,12030,137726,121753,9775,242,2794,104,370,993,836,818,51,1129,3612,10817
