district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,542816,33363,509453,385695,81882,1022,10970,481,4270,10135,5798,8103,1005,7823,19074,93031,423806,22538,401262,312129,61653,790,9060,433,2722,4282,4922,4445,769,6479,13501,66719
2,538822,38518,500304,410464,54376,1316,9811,399,3625,8550,5689,5613,553,7560,15423,63470,424373,24994,399385,332670,43099,1160,7930,356,2852,3023,4725,3194,433,6320,11128,46540
3,534284,37234,497050,324122,146619,823,7663,281,1863,7644,4109,2645,1281,6213,10308,155544,431599,26814,404785,270721,115834,711,6323,276,1216,3483,3517,1625,1079,5307,7948,120396
4,540511,56740,483810,366782,71099,430,24742,474,3464,6879,3136,6382,547,4110,31115,78524,424046,40306,383775,298336,53913,389,19367,451,2014,2719,2489,3791,310,3217,23157,56999
5,526884,53164,473681,216566,218856,503,15670,297,3281,11197,2124,3540,1522,4152,19219,231576,402971,34558,368378,182447,160665,383,12231,251,1721,5589,1678,2194,1215,3247,14426,167412
6,539506,51218,488267,379413,73888,411,12909,420,2368,8437,5046,4948,613,6050,17865,82914,423037,37488,385534,306295,56501,299,10196,296,1536,3258,3948,2889,540,4778,13097,60287
7,570988,51019,520010,447031,42623,380,13281,193,1334,6652,3252,4521,670,4299,17802,49946,458581,36015,422570,370255,33029,311,9851,106,710,2643,2742,2430,412,3464,12282,36078
8,548809,84422,464346,382689,59235,897,8321,262,823,6879,2810,2283,213,3923,10604,66327,448091,61345,386742,325991,45426,815,6696,210,667,3122,2319,1446,127,3262,8141,48682
9,542033,76953,465101,360503,77086,636,10913,343,1405,7451,3358,2717,503,4517,13622,85064,439849,55654,384210,307284,57528,492,9151,201,1043,3782,2764,1389,352,3617,10528,61674
10,516602,113599,403006,307756,58228,455,21183,289,2241,6397,2084,4088,284,2822,25275,64900,409840,84838,325004,254878,45196,376,16052,170,1369,2864,1725,2176,183,2284,18231,48231
11,556404,55544,500869,456343,22971,1083,6300,397,2305,5470,3028,2493,476,4587,8793,28919,475700,41621,434091,399990,19099,849,5307,237,1420,2571,2629,1502,490,3967,6808,22160
12,546449,154482,392111,283201,84819,503,8535,386,1470,8303,2406,1972,450,3337,10502,93552,424850,105818,319134,241390,61752,452,6961,273,1034,3676,1991,1267,380,2802,8227,65788
13,534256,91405,442847,352930,51922,426,21588,534,1905,6291,2873,3866,510,3809,25454,58723,419648,64621,355022,291261,39471,370,15949,362,960,2062,2333,1979,273,2976,17928,41806
14,495974,151220,344777,270142,35943,403,21505,355,1939,7488,1751,4711,531,2725,26222,44004,394081,114458,279653,224099,29244,394,16290,288,1174,3678,1525,2623,340,2313,18917,33297
15,475008,111828,363175,148996,183978,564,17101,621,2437,4801,1184,2518,973,2721,19614,189765,356976,77250,279728,125231,131796,481,14096,480,1472,2656,919,1793,829,2229,15885,135293
16,504238,109626,394559,199391,164504,396,10419,374,2784,10116,1800,3451,1172,3334,13871,175785,393370,77967,315357,173556,121765,319,8454,364,1690,4455,1517,2196,932,2719,10648,127129
17,495940,193509,302446,216104,46751,280,24021,335,2802,5392,2026,4323,439,2746,28345,52579,397959,145438,252529,185039,37265,275,19806,287,1605,3252,1701,2880,441,2417,22687,40958
18,523092,55714,467404,394221,33607,637,22321,438,1374,7669,2817,3616,731,4182,25935,41984,442352,41072,401270,347633,25185,566,18470,327,841,3401,2399,1837,637,3602,20306,29222
